2026-05-16 13:55:22,568 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:55:27,669 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:55:32,775 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:55:37,887 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:55:43,092 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:55:48,189 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:55:53,293 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:55:58,391 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:56:03,487 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:56:08,692 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:56:13,816 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:56:18,914 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:56:24,009 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:56:29,104 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:56:34,200 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:56:39,307 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:56:44,420 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:56:49,546 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:56:54,637 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:56:59,739 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:57:04,854 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:57:09,964 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:57:15,073 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:57:20,173 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:57:25,268 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:57:30,358 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:57:35,610 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:57:40,708 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:57:45,815 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:57:50,996 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:57:56,086 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:58:01,191 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
2026-05-16 13:58:06,279 | WARNING | app.websocket.sharekhan_ws | Provider status persistence skipped: password authentication failed for user "postgres"
